timestamp,datetime,speed,rpm,gear,throttle,brake
1745761799.95477,2025-04-27 14:49:59.954772,0.0,1481,1,0.0,0.0
1745761800.0552118,2025-04-27 14:50:00.055213,0.0,1485,1,0.0,1.0
1745761800.1644056,2025-04-27 14:50:00.164406,0.0,1490,1,0.0,1.0
1745761800.2661066,2025-04-27 14:50:00.266108,0.0,1492,1,0.0,1.0
1745761800.373731,2025-04-27 14:50:00.373732,0.0,1494,1,0.0,1.0
1745761800.4747136,2025-04-27 14:50:00.474714,0.0,1494,1,0.0,0.0
1745761800.584528,2025-04-27 14:50:00.584529,0.0,1494,1,0.0,0.0
1745761800.6854722,2025-04-27 14:50:00.685473,0.0,1494,1,0.0,0.0
1745761800.7933295,2025-04-27 14:50:00.793331,0.0,1494,1,0.0,0.0
1745761800.8951764,2025-04-27 14:50:00.895177,0.0,1494,1,0.0,0.0
1745761801.004399,2025-04-27 14:50:01.004401,0.0,1494,1,0.0,0.0
1745761801.1050665,2025-04-27 14:50:01.105068,0.0,1494,1,0.0,0.0
1745761801.2140148,2025-04-27 14:50:01.214015,0.0,1494,1,0.0,0.0
1745761801.314192,2025-04-27 14:50:01.314193,0.0,1494,1,0.0,1.0
1745761801.4146175,2025-04-27 14:50:01.414618,0.0,1494,1,0.0,1.0
1745761801.524336,2025-04-27 14:50:01.524337,0.0,1494,1,0.0,1.0
1745761801.6334655,2025-04-27 14:50:01.633466,0.0,1494,1,0.0,1.0
1745761801.734683,2025-04-27 14:50:01.734684,0.0,1494,1,0.0,0.0
1745761801.8434262,2025-04-27 14:50:01.843428,0.0,1494,1,0.0,0.0
1745761801.9440515,2025-04-27 14:50:01.944052,0.0,1494,1,0.0,0.0
1745761802.0441556,2025-04-27 14:50:02.044157,0.0,1494,1,0.0,0.0
1745761802.144141,2025-04-27 14:50:02.144142,0.0,1494,1,0.11,0.0
1745761802.2446845,2025-04-27 14:50:02.244685,0.0,1494,1,0.23,0.0
1745761802.3453052,2025-04-27 14:50:02.345308,0.0,1504,1,0.24,0.0
1745761802.4571862,2025-04-27 14:50:02.457187,0.0,1820,1,0.18,0.0
1745761802.565054,2025-04-27 14:50:02.565055,0.0,2233,1,0.12,0.0
1745761802.6751714,2025-04-27 14:50:02.675173,0.0,2356,1,0.09,0.0
1745761802.775591,2025-04-27 14:50:02.775592,0.0,2356,1,0.12,0.0
1745761802.8841846,2025-04-27 14:50:02.884185,0.0,2356,1,0.16,0.0
1745761802.9849012,2025-04-27 14:50:02.984902,0.0,2176,1,0.16,0.0
1745761803.0949485,2025-04-27 14:50:03.094953,0.0,2176,1,0.16,0.0
1745761803.2040887,2025-04-27 14:50:03.204090,0.0,2176,1,0.19,0.0
1745761803.3042002,2025-04-27 14:50:03.304202,0.0,2257,1,0.25,0.0
1745761803.4044058,2025-04-27 14:50:03.404407,0.0,2259,1,0.27,0.0
1745761803.5049186,2025-04-27 14:50:03.504919,0.0,2259,1,0.28,0.0
1745761803.6145692,2025-04-27 14:50:03.614570,0.0,2257,1,0.34,0.0
1745761803.7240372,2025-04-27 14:50:03.724038,0.0,2215,1,0.43,0.0
1745761803.8242974,2025-04-27 14:50:03.824298,0.0,2194,1,0.45,0.0
1745761803.925046,2025-04-27 14:50:03.925048,0.0,2179,1,0.41,0.0
1745761804.024995,2025-04-27 14:50:04.024996,0.0,2154,1,0.39,0.0
1745761804.16949,2025-04-27 14:50:04.169491,2.4,2136,1,0.4,0.0
1745761804.2751284,2025-04-27 14:50:04.275129,2.7,2019,1,0.68,0.0
1745761804.3841286,2025-04-27 14:50:04.384129,3.0,2019,1,0.9,0.0
1745761804.4849067,2025-04-27 14:50:04.484908,3.4,2019,1,0.98,0.0
1745761804.595714,2025-04-27 14:50:04.595717,5.2,2278,1,0.87,0.0
1745761804.7053542,2025-04-27 14:50:04.705355,8.5,2555,1,0.74,0.0
1745761804.8058205,2025-04-27 14:50:04.805823,12.1,2907,1,0.52,0.0
1745761804.9148393,2025-04-27 14:50:04.914841,15.9,3236,1,0.38,0.0
1745761805.0153203,2025-04-27 14:50:05.015322,20.2,3462,1,0.29,0.0
1745761805.125245,2025-04-27 14:50:05.125246,23.6,3616,1,0.26,0.0
1745761805.2257485,2025-04-27 14:50:05.225750,25.9,3710,1,0.26,0.0
1745761805.3342035,2025-04-27 14:50:05.334204,28.2,3778,1,0.28,0.0
1745761805.434769,2025-04-27 14:50:05.434770,30.2,3830,1,0.28,0.0
1745761805.544678,2025-04-27 14:50:05.544679,32.0,3882,1,0.29,0.0
1745761805.6548872,2025-04-27 14:50:05.654888,33.3,3926,1,0.28,0.0
1745761805.7650616,2025-04-27 14:50:05.765064,34.2,3970,1,0.27,0.0
1745761805.866363,2025-04-27 14:50:05.866364,34.9,3970,2,0.25,0.0
