timestamp,datetime,speed,rpm,gear,throttle,brake
1746038261.7034998,2025-04-30 19:37:41.703500,473.3,900,1,0.0,0.0
1746038261.8135834,2025-04-30 19:37:41.813584,473.3,900,1,0.0,0.0
1746038261.922209,2025-04-30 19:37:41.922210,473.2,900,1,0.0,0.0
1746038262.0320191,2025-04-30 19:37:42.032020,473.2,900,1,0.0,0.0
1746038262.1326563,2025-04-30 19:37:42.132657,473.1,900,1,0.0,0.0
1746038262.241374,2025-04-30 19:37:42.241375,473.1,900,1,0.0,0.0
1746038262.3417838,2025-04-30 19:37:42.341784,473.0,900,1,0.0,0.0
1746038262.451072,2025-04-30 19:37:42.451073,473.0,900,1,0.0,0.0
1746038262.5523822,2025-04-30 19:37:42.552383,472.9,900,1,0.0,0.0
1746038262.6616046,2025-04-30 19:37:42.661605,472.9,900,1,0.0,0.0
1746038262.7617657,2025-04-30 19:37:42.761766,472.8,900,1,0.0,0.0
1746038262.861947,2025-04-30 19:37:42.861949,472.7,900,1,0.0,0.0
1746038262.9717002,2025-04-30 19:37:42.971701,472.7,900,1,0.0,0.0
1746038263.073028,2025-04-30 19:37:43.073030,472.6,900,1,0.0,0.0
1746038263.1817482,2025-04-30 19:37:43.181749,472.5,900,1,0.0,0.0
1746038263.2826862,2025-04-30 19:37:43.282687,472.4,900,1,0.0,0.0
1746038263.3920882,2025-04-30 19:37:43.392089,472.4,900,1,0.0,0.0
1746038263.502081,2025-04-30 19:37:43.502082,472.3,900,1,0.0,0.0
1746038263.6030617,2025-04-30 19:37:43.603063,472.2,900,1,0.0,0.0
1746038263.7117174,2025-04-30 19:37:43.711718,472.1,900,1,0.0,0.0
1746038263.8125072,2025-04-30 19:37:43.812508,472.0,900,1,0.0,0.0
1746038263.912977,2025-04-30 19:37:43.912978,471.9,900,1,0.0,0.0
1746038264.0136611,2025-04-30 19:37:44.013662,471.7,900,1,0.51,0.0
1746038264.1219106,2025-04-30 19:37:44.121912,471.6,900,1,0.34,0.0
1746038264.222008,2025-04-30 19:37:44.222009,471.5,944,1,0.24,0.0
1746038264.3225505,2025-04-30 19:37:44.322552,471.4,1518,1,0.18,0.0
1746038264.4329233,2025-04-30 19:37:44.432925,471.3,1518,1,0.15,0.0
1746038264.5344577,2025-04-30 19:37:44.534458,471.2,1518,1,0.44,0.0
1746038264.6426594,2025-04-30 19:37:44.642660,471.1,1643,1,1.0,0.0
1746038264.7431414,2025-04-30 19:37:44.743142,471.0,1643,1,0.97,0.0
1746038264.8519928,2025-04-30 19:37:44.851994,472.8,1965,1,0.8,0.0
1746038264.9527798,2025-04-30 19:37:44.952781,474.9,2542,1,0.58,0.0
1746038265.0634148,2025-04-30 19:37:45.063416,485.8,2542,1,0.52,0.0
1746038265.1726787,2025-04-30 19:37:45.172680,485.8,2542,1,0.45,0.0
1746038265.2731736,2025-04-30 19:37:45.273174,485.8,2482,1,0.37,0.0
1746038265.3816566,2025-04-30 19:37:45.381657,470.8,2482,1,0.28,0.0
1746038265.4840732,2025-04-30 19:37:45.484074,476.2,2482,1,0.25,0.0
1746038265.592416,2025-04-30 19:37:45.592417,475.8,2603,1,0.24,0.0
1746038265.7037404,2025-04-30 19:37:45.703742,475.5,2700,1,0.2,0.0
1746038265.8125565,2025-04-30 19:37:45.812557,475.3,2802,1,0.0,0.0
1746038265.9128206,2025-04-30 19:37:45.912821,475.1,2828,1,0.0,0.0
1746038266.0133128,2025-04-30 19:37:46.013313,477.6,2828,1,0.0,1.0
1746038266.1221957,2025-04-30 19:37:46.122197,483.1,2828,1,0.0,1.0
1746038266.2230558,2025-04-30 19:37:46.223057,488.7,2735,1,0.0,1.0
1746038266.3348608,2025-04-30 19:37:46.334862,494.3,2203,1,0.0,0.0
1746038266.4425147,2025-04-30 19:37:46.442516,499.9,1747,1,0.05,0.0
1746038266.5447083,2025-04-30 19:37:46.544710,505.5,1405,1,1.0,0.0
1746038266.6523714,2025-04-30 19:37:46.652372,511.1,1405,1,1.0,0.0
1746038266.7531219,2025-04-30 19:37:46.753123,516.7,1405,1,1.0,0.0
1746038266.8638651,2025-04-30 19:37:46.863866,519.6,1588,1,1.0,0.0
1746038266.9725714,2025-04-30 19:37:46.972572,519.3,1983,1,1.0,0.0
1746038267.072772,2025-04-30 19:37:47.072773,518.8,2411,1,1.0,0.0
1746038267.1821918,2025-04-30 19:37:47.182193,518.1,2809,1,1.0,0.0
1746038267.2833035,2025-04-30 19:37:47.283305,517.2,3148,1,1.0,0.0
1746038267.3923538,2025-04-30 19:37:47.392355,516.2,3523,1,1.0,0.0
1746038267.4926367,2025-04-30 19:37:47.492638,515.0,3889,1,1.0,0.0
1746038267.5926118,2025-04-30 19:37:47.592613,513.7,4320,1,1.0,0.0
1746038267.6929696,2025-04-30 19:37:47.692970,512.3,4667,1,1.0,0.0
1746038267.7930973,2025-04-30 19:37:47.793098,511.0,5084,1,1.0,0.0
1746038267.8993328,2025-04-30 19:37:47.899334,509.9,5410,1,1.0,0.0
1746038268.0036476,2025-04-30 19:37:48.003648,508.9,5640,1,1.0,0.0
1746038268.113015,2025-04-30 19:37:48.113016,508.1,5651,1,1.0,0.0
1746038268.2140083,2025-04-30 19:37:48.214009,507.4,5640,1,1.0,0.0
1746038268.3237543,2025-04-30 19:37:48.323755,506.7,5651,1,1.0,0.0
1746038268.4347198,2025-04-30 19:37:48.434721,506.1,5662,1,1.0,0.0
1746038268.5351157,2025-04-30 19:37:48.535116,505.6,5662,1,1.0,0.0
1746038268.6430647,2025-04-30 19:37:48.643065,505.2,5665,1,1.0,0.0
